,Date (FGC),Time (FGC),Timestamp (FGC),Circuit Name,d,circuit_type,timestamp_fgc,circuit_name,author,is_automatic,timestamp_pic,i_meas_df,i_a_df,i_earth_df,i_earth_pcnt_df,i_ref_df,timestamp_fgc_ref,i_meas_ref_df,i_earth_ref_df,i_earth_pcnt_ref_df,source_timestamp_ee_odd_df,timestamp_ee_odd,source_ee_odd,u_dump_res_odd_df,source_timestamp_ee_even_df,timestamp_ee_even,source_ee_even,u_dump_res_even_df,t_res_odd_0_df,t_res_odd_1_df,t_res_even_0_df,t_res_even_1_df,source_timestamp_ee_odd_ref_df,source_timestamp_ee_even_ref_df,t_res_odd_0_ref_df,t_res_odd_1_ref_df,t_res_even_0_ref_df,t_res_even_1_ref_df,u_diode_rb_dfs,source_timestamp_qds_df,source_timestamp_nqps_df,u_qds_dfs,u_nqps_dfs,u_qds_dfs2,source_timestamp_qh_df,i_hds_dfs,u_hds_dfs,i_hds_ref_dfs,u_hds_ref_dfs,i_a_u_diode_u_ref_pm_dfs,i_meas_u_diode_nxcals_dfs,u_earth_rb_dfs,source_timestamp_leads_odd_df,u_hts_odd_dfs,u_res_odd_dfs,source_timestamp_leads_even_df,u_hts_even_dfs,u_res_even_dfs,t_res_body_long_dfs,st_res_overtemp_long_dfs
0,2016-06-06,08:34:04,1465194844000000000,RB.A78,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(8, 2)","DataFrame:(54, 2)",list <class 'list'> with len 8,list <class 'list'> with len 8,list <class 'list'> with len 8,"DataFrame:(8, 2)",list <class 'list'> with len 8,list <class 'list'> with len 8,list <class 'list'> with len 8,list <class 'list'> with len 8,list <class 'tuple'> with len 8,list <class 'tuple'> with len 8,None,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
1,2021-05-23,14:46:46,1621774006000000000,RB.A23,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(54, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
2,2015-02-11,16:49:30,1423669770000000000,RB.A81,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(14, 2)","DataFrame:(4, 2)",list <class 'list'> with len 14,list <class 'pandas.core.frame.DataFrame'> with len 14,list <class 'list'> with len 14,"DataFrame:(14, 2)",list <class 'list'> with len 14,list <class 'list'> with len 14,list <class 'list'> with len 14,list <class 'list'> with len 14,list <class 'tuple'> with len 14,list <class 'tuple'> with len 14,None,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
3,2021-05-01,19:48:08.980000,1619891288980000000,RB.A34,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(54, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
4,2021-04-15,21:42:34.660000,1618515754660000000,RB.A34,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(55, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
5,2021-07-22,20:04:54.680,1626977094680000000,RB.A67,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(5, 2)","DataFrame:(54, 2)",list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,"DataFrame:(5, 2)",list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'tuple'> with len 5,list <class 'tuple'> with len 5,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
6,2021-05-24,17:22:30.460000,1621869750460000000,RB.A56,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(7, 2)","DataFrame:(54, 2)",list <class 'list'> with len 7,list <class 'list'> with len 7,list <class 'list'> with len 7,"DataFrame:(7, 2)",list <class 'list'> with len 7,list <class 'list'> with len 7,list <class 'list'> with len 7,list <class 'list'> with len 7,list <class 'tuple'> with len 7,list <class 'tuple'> with len 7,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
7,2015-03-14,13:39:43,1426336783000000000,RB.A45,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(1, 2)",list <class 'list'> with len 4,list <class 'pandas.core.frame.DataFrame'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,None,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
8,2021-05-05,21:56:12.540000,1620244572540000000,RB.A12,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(3, 2)","DataFrame:(54, 2)",list <class 'list'> with len 3,list <class 'list'> with len 3,list <class 'list'> with len 3,"DataFrame:(3, 2)",list <class 'list'> with len 3,list <class 'list'> with len 3,list <class 'list'> with len 3,list <class 'list'> with len 3,list <class 'tuple'> with len 3,list <class 'tuple'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
9,2021-04-30,07:31:39.380000,1619760699380000000,RB.A45,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1197, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(54, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
10,2021-08-05,07:25:22.520000,1628141122520000000,RB.A81,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(54, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
11,2021-07-01,17:02:13.760000,1625151733760000000,RB.A56,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(5, 2)","DataFrame:(54, 2)",list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,"DataFrame:(5, 2)",list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'tuple'> with len 5,list <class 'tuple'> with len 5,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
12,2021-06-19,00:25:03.400000,1624055103400000000,RB.A56,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'float'> with len 2,"DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(0, 0)","DataFrame:(0, 0)",None,"DataFrame:(0, 0)",None,"DataFrame:(0, 0)",empty list,empty list,empty list,empty list,empty list,empty list,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(0, 0)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(0, 0)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
13,2021-08-06,19:47:33.060000,1628272053060000000,RB.A81,"DataFrame:(6,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(21000, 1)","DataFrame:(8192, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(21000, 1)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(5, 2)","DataFrame:(54, 2)",list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,"DataFrame:(5, 2)",list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'list'> with len 5,list <class 'tuple'> with len 5,list <class 'tuple'> with len 5,list <class 'pandas.core.frame.DataFrame'> with len 54,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
14,2016-12-10,18:41:25,1481391685000000000,RB.A45,"DataFrame:(7,)",scalar,scalar,scalar,scalar,scalar,list <class 'numpy.int64'> with len 2,"DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)","DataFrame:(0, 0)",scalar,"DataFrame:(21000, 1)","DataFrame:(1024, 1)","DataFrame:(21000, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1198, 1)","DataFrame:(2, 2)",scalar,scalar,"DataFrame:(1197, 1)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,"DataFrame:(2, 2)","DataFrame:(2, 2)",list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 3,list <class 'pandas.core.frame.DataFrame'> with len 154,"DataFrame:(4, 2)","DataFrame:(54, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,"DataFrame:(4, 2)",list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'list'> with len 4,list <class 'tuple'> with len 4,list <class 'tuple'> with len 4,None,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,"DataFrame:(1, 2)",list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 2,list <class 'pandas.core.frame.DataFrame'> with len 6,list <class 'pandas.core.frame.DataFrame'> with len 2
